Unnamed: 0,Nombre,Símbolo,Precio (USD),Vol. (24h),Vol. total,Var. (24h),Var. (7d),Cap. mercado,timestamp
",Bitcoin,BTC,91114.2,73.59,""36,91%"",""+2,28%"",""+5,28%"",1.82,2024-11-18 21:04:45.669512"
",Ethereum,ETH,3148.64,34.2,""17,08%"",""+3,44%"",""-5,26%"",383.46,2024-11-18 21:04:45.669512"
",Tether USDt,USDT,10010.0,157.88,""80,98%"",""+0,11%"",""-0,08%"",127.69,2024-11-18 21:04:45.669512"
",Solana,SOL,237629.0,8.98,""4,68%"",""+1,91%"",""+8,01%"",113.83,2024-11-18 21:04:45.669512"
",BNB,BNB,61671.0,2.31,""1,19%"",""+0,37%"",""-3,47%"",88.38,2024-11-18 21:04:45.669512"
",XRP,XRP,11192.0,9.95,""5,31%"",""+6,85%"",""+77,18%"",63.47,2024-11-18 21:04:45.669512"
",Dogecoin,DOGE,371400.0,8.38,""4,31%"",""+4,99%"",""+16,51%"",55.69,2024-11-18 21:04:45.669512"
",USDC,USDC,9989.0,10.9,""5,51%"",""+0,00%"",""+0,01%"",37.22,2024-11-18 21:04:45.669512"
",Cardano,ADA,7365.0,2.29,""1,26%"",""+4,71%"",""+21,31%"",26.09,2024-11-18 21:04:45.669512"
",TRON,TRX,202690.0,969.07,""0,51%"",""+2,77%"",""+21,43%"",17.58,2024-11-18 21:04:45.669512"
",Shiba Inu,SHIB,2440.0,1.29,""0,71%"",""-0,94%"",""-10,53%"",14.57,2024-11-18 21:04:45.669512"
",Avalanche,AVAX,3503.0,911.41,""0,48%"",""+0,59%"",""+2,72%"",14.52,2024-11-18 21:04:45.669512"
",Toncoin,TON,55170.0,302.26,""0,16%"",""+3,61%"",""+2,69%"",14.17,2024-11-18 21:04:45.669512"
",Sui,SUI,37205.0,1.61,""0,90%"",""-1,97%"",""+15,82%"",10.63,2024-11-18 21:04:45.669512"
",Chainlink,LINK,1507.0,958.92,""0,49%"",""+9,86%"",""+2,40%"",9.49,2024-11-18 21:04:45.669512"
",Polkadot,pDOTn,5837.0,621.17,""0,32%"",""+8,45%"",""+10,16%"",8.93,2024-11-18 21:04:45.669512"
",Bitcoin Cash,BCH,44062.0,506.87,""0,28%"",""+2,56%"",""-1,10%"",8.79,2024-11-18 21:04:45.669512"
",Pepe,PEPE,2008.0,4.79,""2,54%"",""-3,96%"",""+52,08%"",8.55,2024-11-18 21:04:45.669512"
",NEAR Protocol,NEAR,59636.0,719.06,""0,37%"",""+4,60%"",""+9,92%"",7.3,2024-11-18 21:04:45.669512"
",UNUS SED LEO,LEOu,77474.0,1.25,""0,00%"",""+0,47%"",""+3,81%"",7.13,2024-11-18 21:04:45.669512"
